question,answer,nhops,base_question,cypher,neo4j_response,evaluation,evaluation_error
what types are the movies written by the screenwriter of [Earth Days],Drama|Documentary,3,what types are the movies written by the screenwriter of [],"MATCH (m:movie)-[:written_by]->(w:writer)<-[:written_by]-(earthDays:movie {name: ""Earth Days""})
RETURN DISTINCT m.name, m.node_id","[{'m.name': ""Pandora's Promise"", 'm.node_id': '6b4a3de4d599108998cc787f3eeff098'}, {'m.name': ""Who'll Stop the Rain"", 'm.node_id': 'a90814c8dcfd9a7317ba10f34080779b'}, {'m.name': 'WUSA', 'm.node_id': '1dd4b50876113468012976db685bb511'}]",unmatched,
what are the genres of the films whose directors also directed [Bugsy Malone],Horror|War|Drama|Music|Comedy|Musical|Thriller,3,what are the genres of the films whose directors also directed [],"MATCH (m:movie)-[:directed_by]->(d:director)<-[:directed_by]-(bm:movie {name: ""Bugsy Malone""}), (m)-[:has_genre]->(g:genre)
RETURN DISTINCT g.name","[{'g.name': 'Horror'}, {'g.name': 'Drama'}, {'g.name': 'Music'}, {'g.name': 'Musical'}, {'g.name': 'Comedy'}, {'g.name': 'Thriller'}, {'g.name': 'War'}]",matched,
what genres do the movies that share directors with [Time to Leave] fall under,Drama|Fantasy|Comedy|Musical|Thriller,3,what genres do the movies that share directors with [] fall under,"MATCH (m:movie {name: ""Time to Leave""})-[:directed_by]->(d:director)<-[:directed_by]-(other_movies:movie)-[:has_genre]->(g:genre)
RETURN g.name","[{'g.name': 'Comedy'}, {'g.name': 'Drama'}, {'g.name': 'Fantasy'}, {'g.name': 'Musical'}, {'g.name': 'Comedy'}, {'g.name': 'Thriller'}, {'g.name': 'Thriller'}, {'g.name': 'Drama'}]",matched,
who starred in the films whose screenwriters also wrote [Alias Betty],Ludivine Sagnier|Nicole Garcia|Bernard Giraudeau,3,who starred in the films whose screenwriters also wrote [],"MATCH (m:movie)-[:written_by]->(w:writer)<-[:written_by]-(alias:movie {name: ""Alias Betty""}), (m)-[:starred_actors]->(a:actor)
RETURN a.name as Actor","[{'Actor': 'Nicole Garcia'}, {'Actor': 'Bernard Giraudeau'}, {'Actor': 'Ludivine Sagnier'}]",matched,
what languages are the films that share writers with [Creature with the Atom Brain] in,Swedish|English,3,what languages are the films that share writers with [] in,"MATCH (cwab:movie {name: ""Creature with the Atom Brain""})-[:written_by]->(writer)<-[:written_by]-(m:movie)-[:in_language]->(language)
RETURN DISTINCT language.name","[{'language.name': 'English'}, {'language.name': 'Swedish'}]",matched,
what were the release dates of movies starred by actors in [Best Defense],1989|1986|1987|1984|1982|1983|1980|1981|1979|1967|1988|1963|2011|2012|1948|1990|1992|1995|1994|1997|1996|1999|1998|2002|2003|2000|2001|2006|2007|2004|2008|2009,3,what were the release dates of movies starred by actors in [],"MATCH (m:movie)-[:starred_actors]->(a:actor)<-[:starred_actors]-(best_defense:movie {name: ""Best Defense""})-[:release_year]->(y:year)
RETURN m.name, y.name","[{'m.name': 'Blame It on the Bellboy', 'y.name': '1984'}, {'m.name': '10', 'y.name': '1984'}, {'m.name': 'Lovesick', 'y.name': '1984'}, {'m.name': 'Wholly Moses!', 'y.name': '1984'}, {'m.name': 'Like Father Like Son', 'y.name': '1984'}, {'m.name': 'Unfaithfully Yours', 'y.name': '1984'}, {'m.name': 'Bedazzled', 'y.name': '1984'}, {'m.name': 'The Adventures of Milo and Otis', 'y.name': '1984'}, {'m.name': 'Six Weeks', 'y.name': '1984'}, {'m.name': 'Romantic Comedy', 'y.name': '1984'}, {'m.name': 'Arthur', 'y.name': '1984'}, {'m.name': 'Crazy People', 'y.name': '1984'}, {'m.name': 'Imagine That', 'y.name': '1984'}, {'m.name': 'Beverly Hills Cop III', 'y.name': '1984'}, {'m.name': 'Showtime', 'y.name': '1984'}, {'m.name': 'Holy Man', 'y.name': '1984'}, {'m.name': 'The Adventures of Pluto Nash', 'y.name': '1984'}, {'m.name': 'The Golden Child', 'y.name': '1984'}, {'m.name': 'Shrek', 'y.name': '1984'}, {'m.name': 'Shrek the Halls', 'y.name': '1984'}, {'m.name': 'Tower Heist', 'y.name': '1984'}, {'m.name': 'The Nutty Professor', 'y.name': '1984'}, {'m.name': 'Coming to America', 'y.name': '1984'}, {'m.name': 'A Thousand Words', 'y.name': '1984'}, {'m.name': 'Boomerang', 'y.name': '1984'}, {'m.name': 'Life', 'y.name': '1984'}, {'m.name': 'Another 48 Hrs.', 'y.name': '1984'}, {'m.name': '48 Hrs.', 'y.name': '1984'}, {'m.name': 'Beverly Hills Cop', 'y.name': '1984'}, {'m.name': 'Daddy Day Care', 'y.name': '1984'}, {'m.name': 'Harlem Nights', 'y.name': '1984'}, {'m.name': 'Vampire in Brooklyn', 'y.name': '1984'}, {'m.name': 'Metro', 'y.name': '1984'}, {'m.name': 'Meet Dave', 'y.name': '1984'}, {'m.name': 'Beverly Hills Cop II', 'y.name': '1984'}, {'m.name': 'The Distinguished Gentleman', 'y.name': '1984'}, {'m.name': 'Dr. Dolittle 2', 'y.name': '1984'}, {'m.name': 'Norbit', 'y.name': '1984'}, {'m.name': 'Dreamgirls', 'y.name': '1984'}, {'m.name': 'I Spy', 'y.name': '1984'}, {'m.name': 'The Haunted Mansion', 'y.name': '1984'}, {'m.name': 'Bowfinger', 'y.name': '1984'}, {'m.name': 'Shrek 2', 'y.name': '1984'}]",unmatched,
who acted in the movies directed by the director of [Kings of the Road],Michelle Williams|Peter Boyle|Solveig Dommartin|Ry Cooder|Robert Duvall|Gary Oldman|Bruno Ganz|Juliano Ribeiro Salgado|Wim Wenders|Irène Jacob|Rosalind Chao|Hans Christian Blech|Dean Stockwell|Harry Dean Stanton|John Diehl|Milla Jovovich|Dennis Hopper|Traci Lind|Marilu Henner|Campino|Demi Moore|Otto Sander|Bill Pullman|Compay Segundo|Sebastião Salgado|Andie MacDowell|Jeremy Davies|Frederic Forrest|Senta Berger|Nastassja Kinski|Lou Castel|Henry B. Walthall|Mel Gibson|John Malkovich,3,who acted in the movies directed by the director of [],"MATCH (m:movie {name: ""Kings of the Road""})-[:directed_by]->(d:director)<-[:directed_by]-(otherMovies:movie)-[:starred_actors]->(a:actor)
RETURN a.name as Actor","[{'Actor': 'Bruno Ganz'}, {'Actor': 'Irène Jacob'}, {'Actor': 'John Malkovich'}, {'Actor': 'Bruno Ganz'}, {'Actor': 'Dennis Hopper'}, {'Actor': 'Compay Segundo'}, {'Actor': 'Ry Cooder'}, {'Actor': 'Solveig Dommartin'}, {'Actor': 'Marilu Henner'}, {'Actor': 'Peter Boyle'}, {'Actor': 'Frederic Forrest'}, {'Actor': 'Juliano Ribeiro Salgado'}, {'Actor': 'Sebastião Salgado'}, {'Actor': 'Wim Wenders'}, {'Actor': 'Wim Wenders'}, {'Actor': 'Dean Stockwell'}, {'Actor': 'Harry Dean Stanton'}, {'Actor': 'Rosalind Chao'}, {'Actor': 'Traci Lind'}, {'Actor': 'Andie MacDowell'}, {'Actor': 'Bill Pullman'}, {'Actor': 'Otto Sander'}, {'Actor': 'Nastassja Kinski'}, {'Actor': 'Bruno Ganz'}, {'Actor': 'Campino'}, {'Actor': 'John Diehl'}, {'Actor': 'Michelle Williams'}, {'Actor': 'Jeremy Davies'}, {'Actor': 'Milla Jovovich'}, {'Actor': 'Mel Gibson'}, {'Actor': 'Henry B. Walthall'}, {'Actor': 'Demi Moore'}, {'Actor': 'Robert Duvall'}, {'Actor': 'Gary Oldman'}, {'Actor': 'Hans Christian Blech'}, {'Actor': 'Senta Berger'}, {'Actor': 'Lou Castel'}]",matched,
the films written by the screenwriter of [Palestine Is Still the Issue] were directed by who,John Pilger|Christopher Martin|Sean Crotty|Alan Lowery,3,the films written by the screenwriter of [] were directed by who,"MATCH (m:movie {name: ""Palestine Is Still the Issue""})-[:written_by]->(w:writer)<-[:written_by]-(f:movie)-[:directed_by]->(d:director)
RETURN d.name","[{'d.name': 'Sean Crotty'}, {'d.name': 'John Pilger'}, {'d.name': 'Christopher Martin'}, {'d.name': 'John Pilger'}, {'d.name': 'Alan Lowery'}, {'d.name': 'John Pilger'}]",matched,
what are the languages spoken in the films directed by the [Babylon A.D.] director,French,3,what are the languages spoken in the films directed by the [] director,,[],unmatched,
the films that share directors with the films [Devdas] are written by who,Sanjay Leela Bhansali|Fyodor Dostoevsky,3,the films that share directors with the films [] are written by who,"MATCH (m:movie {name: ""Devdas""})-[:directed_by]->(d:director)<-[:directed_by]-(shared_movies:movie)-[:written_by]->(writers:writer)
RETURN writers.name as Written_By","[{'Written_By': 'Fyodor Dostoevsky'}, {'Written_By': 'Sanjay Leela Bhansali'}]",matched,
the movies that share actors with the movie [Abe Lincoln in Illinois] were released in which years,1943|1949|1968|1969|1979|1942|1965|1940|1934|1931|1971|1970|1955|2000|1937|1950|1952|1982|1944|1947|1936,3,the movies that share actors with the movie [] were released in which years,"MATCH (m:movie {name: ""Abe Lincoln in Illinois""})-[:starred_actors]->(a:actor)<-[:starred_actors]-(shared_movie:movie)-[:release_year]->(y:year)
RETURN y.name as Release_Year","[{'Release_Year': '1955'}, {'Release_Year': '1949'}, {'Release_Year': '1950'}, {'Release_Year': '1947'}, {'Release_Year': '1934'}, {'Release_Year': '1982'}, {'Release_Year': '1936'}, {'Release_Year': '1942'}, {'Release_Year': '1944'}, {'Release_Year': '1937'}, {'Release_Year': '1952'}, {'Release_Year': '1979'}, {'Release_Year': '1952'}, {'Release_Year': '1950'}, {'Release_Year': '1943'}, {'Release_Year': '1955'}, {'Release_Year': '1931'}, {'Release_Year': '1947'}, {'Release_Year': '2000'}, {'Release_Year': '1940'}, {'Release_Year': '1968'}, {'Release_Year': '1969'}, {'Release_Year': '1970'}, {'Release_Year': '1965'}, {'Release_Year': '1971'}]",matched,
what genres are the films written by [The Sun Shines Bright] screenwriters,Comedy,3,what genres are the films written by [] screenwriters,"MATCH (m:movie {name: ""The Sun Shines Bright""})-[:written_by]->(w:writer)<-[:written_by]-(f:movie)-[:has_genre]->(g:genre)
RETURN DISTINCT g.name;",[{'g.name': 'Comedy'}],matched,
which person wrote the films acted by the actors in [The Bourne Legacy],Larry Karaszewski|Steven Millhauser|Ben Affleck|Chuck Palahniuk|Chuck Hogan|Sylvain Chomet|Woody Allen|Scott Alexander|Nick Schou|Zak Penn|Jim Uhls|David McKenna|Tim Boughn|Thomas Harris|Gavin O'Connor|Eric Warren Singer|James Gray|Mark Boal|Tim Blake Nelson|David Benioff|Stuart Blumberg|Peter Landesman|David O. Russell|Gary Webb|Daniel E. Taylor|Kario Salem|Ted Tally|Jacques Tati|Neil Burger,3,which person wrote the films acted by the actors in [],,[],unmatched,
what languages are the movies that share actors with [Article 99] in,Vietnamese|German|Georgian|Dutch|French|English|Korean,3,what languages are the movies that share actors with [] in,"MATCH (m:movie {name: ""Article 99""})-[:starred_actors]->(a:actor)<-[:starred_actors]-(related_movie:movie)-[:in_language]->(l:language)
RETURN DISTINCT l.name;","[{'l.name': 'English'}, {'l.name': 'Dutch'}, {'l.name': 'French'}, {'l.name': 'Korean'}, {'l.name': 'Vietnamese'}, {'l.name': 'Georgian'}, {'l.name': 'German'}]",matched,
what genres are the films starred by [The Man Behind the Gun] actors,War|Drama|Western|Comedy|Musical|Adventure,3,what genres are the films starred by [] actors,"MATCH (m:movie {name: ""The Man Behind the Gun""})-[:starred_actors]->(a:actor)<-[:starred_actors]-(f:movie)-[:has_genre]->(g:genre)
RETURN DISTINCT g.name","[{'g.name': 'Comedy'}, {'g.name': 'Western'}, {'g.name': 'Musical'}, {'g.name': 'Drama'}, {'g.name': 'War'}, {'g.name': 'Adventure'}]",matched,
who is listed as director of the films starred by [House of Frankenstein] actors,Catherine Breillat|Nick Grinde|Terry O. Morse|Roy Del Ruth|Gordon Douglas|William Beaudine|Lew Landers|Cecil B. DeMille|Rowland V. Lee|Mario Bava|Terence Fisher|Robert Day|Roy Ward Baker|Jesper Ganslandt|Preston A. Whitmore II|Michael Curtiz|Charles Brabin|Jacques Tourneur|Joseph Pevney|Clark Johnson|William Nigh|Mark Robson|Douglas Sirk|John Ford|Karl Freund|Jerry Warren|Steve Sekely|Roy William Neill|Boris Petroff|Edgar G. Ulmer|J. Searle Dawley|Ulli Lommel|James McTeigue|Michael Winner|Paul Harrison|Roger Corman|James Whale|Charles Lamont|Robert Wise|Stephen Sommers|Edward Dmytryk,3,who is listed as director of the films starred by [] actors,"MATCH (m:movie {name: ""House of Frankenstein""})-[:starred_actors]->(a:actor)<-[:starred_actors]-(f:movie)-[:directed_by]->(d:director)
RETURN DISTINCT d.name","[{'d.name': 'Paul Harrison'}, {'d.name': 'Roy Ward Baker'}, {'d.name': 'Edgar G. Ulmer'}, {'d.name': 'Catherine Breillat'}, {'d.name': 'Edward Dmytryk'}, {'d.name': 'William Beaudine'}, {'d.name': 'Boris Petroff'}, {'d.name': 'Jerry Warren'}, {'d.name': 'Steve Sekely'}, {'d.name': 'Gordon Douglas'}, {'d.name': 'John Ford'}, {'d.name': 'Roy Del Ruth'}, {'d.name': 'Michael Winner'}, {'d.name': 'Clark Johnson'}, {'d.name': 'Rowland V. Lee'}, {'d.name': 'Charles Brabin'}, {'d.name': 'William Nigh'}, {'d.name': 'Robert Wise'}, {'d.name': 'Charles Lamont'}, {'d.name': 'Cecil B. DeMille'}, {'d.name': 'James Whale'}, {'d.name': 'J. Searle Dawley'}, {'d.name': 'Mario Bava'}, {'d.name': 'Nick Grinde'}, {'d.name': 'Jesper Ganslandt'}, {'d.name': 'Douglas Sirk'}, {'d.name': 'Roy William Neill'}, {'d.name': 'Joseph Pevney'}, {'d.name': 'Mark Robson'}, {'d.name': 'Jacques Tourneur'}, {'d.name': 'Robert Day'}, {'d.name': 'Terry O. Morse'}, {'d.name': 'Terence Fisher'}, {'d.name': 'Stephen Sommers'}, {'d.name': 'Karl Freund'}, {'d.name': 'James McTeigue'}, {'d.name': 'Ulli Lommel'}, {'d.name': 'Lew Landers'}, {'d.name': 'Roger Corman'}, {'d.name': 'Preston A. Whitmore II'}, {'d.name': 'Michael Curtiz'}]",matched,
the movies written by the screenwriter of [Fierce Creatures] were directed by who,Terry Gilliam|John Cleese|Joseph McGrath|Terry Jones|Charles Crichton,3,the movies written by the screenwriter of [] were directed by who,"MATCH (m:movie {name: ""Fierce Creatures""})-[:written_by]->(w:writer)<-[:written_by]-(otherMovies:movie)-[:directed_by]->(d:director)
RETURN otherMovies.name as Movie, d.name as Director","[{'Movie': 'The Magic Christian', 'Director': 'Joseph McGrath'}, {'Movie': 'A Fish Called Wanda', 'Director': 'John Cleese'}, {'Movie': 'A Fish Called Wanda', 'Director': 'Charles Crichton'}, {'Movie': 'Monty Python and the Holy Grail', 'Director': 'Terry Jones'}, {'Movie': 'Monty Python and the Holy Grail', 'Director': 'Terry Gilliam'}]",matched,
who directed films that share actors with the film [Jacob's Ladder],Lasse Hallström|Thomas Schlamme|Frank Darabont|Steve Oedekerk|John Mackenzie|Henry Bean|John Sayles|Peter Howitt|Isabel Coixet|Bill Fishman|Brian De Palma|Ethan Coen|Fernando Trueba|Spike Lee|Eddie Murphy|Luis Valdez|Stuart Blumberg|Mark Pellington|Michel Gondry|Tony Bill|Ron Shelton|Clint Eastwood|Tim Robbins|Willard Huyck|Michael Lehmann|Robert Altman|Bob Giraldi|James Glickenhaus|Fred Schepisi|John Leekley|Roger Donaldson|Gil Kenan,3,who directed films that share actors with the film [],"MATCH (m:movie {name: ""Jacob's Ladder""})-[:starred_actors]->(a:actor)<-[:starred_actors]-(shared_movie:movie)-[:directed_by]->(d:director)
RETURN d.name","[{'d.name': 'Luis Valdez'}, {'d.name': 'John Sayles'}, {'d.name': 'Lasse Hallström'}, {'d.name': 'Spike Lee'}, {'d.name': 'John Mackenzie'}, {'d.name': 'John Leekley'}, {'d.name': 'Michael Lehmann'}, {'d.name': 'James Glickenhaus'}, {'d.name': 'Fernando Trueba'}, {'d.name': 'Eddie Murphy'}, {'d.name': 'Bob Giraldi'}, {'d.name': 'Steve Oedekerk'}, {'d.name': 'Fred Schepisi'}, {'d.name': 'Tony Bill'}, {'d.name': 'Peter Howitt'}, {'d.name': 'Gil Kenan'}, {'d.name': 'Clint Eastwood'}, {'d.name': 'Isabel Coixet'}, {'d.name': 'Ethan Coen'}, {'d.name': 'Tim Robbins'}, {'d.name': 'Stuart Blumberg'}, {'d.name': 'Bill Fishman'}, {'d.name': 'Henry Bean'}, {'d.name': 'Michel Gondry'}, {'d.name': 'Brian De Palma'}, {'d.name': 'Willard Huyck'}, {'d.name': 'Robert Altman'}, {'d.name': 'Roger Donaldson'}, {'d.name': 'Ron Shelton'}, {'d.name': 'Mark Pellington'}, {'d.name': 'Thomas Schlamme'}, {'d.name': 'Frank Darabont'}]",matched,
the movies that share writers with the movie [Candy] were in which languages,Italian,3,the movies that share writers with the movie [] were in which languages,"MATCH (m:movie {name: ""Candy""})-[:written_by]->(w:writer)<-[:written_by]-(sharedMovie:movie)-[:in_language]->(l:language)
RETURN sharedMovie.name, l.name","[{'sharedMovie.name': 'Catch-22', 'l.name': 'Italian'}]",matched,
who directed movies for the writer of [Crossing Over],Paul Glickler|Renny Harlin|Wayne Kramer|Peter Hyams,3,who directed movies for the writer of [],"MATCH (m:movie {name: 'Crossing Over'})-[:written_by]->(w:writer), (m)-[:directed_by]->(d:director)
RETURN d.name",[{'d.name': 'Wayne Kramer'}],unmatched,
who directed the movies written by the writer of [Where the Truth Lies],Atom Egoyan|John Irvin,3,who directed the movies written by the writer of [],,[],unmatched,
who starred movies for the writer of [Snow White and the Seven Dwarfs],Emily Browning|Winston Hibler|Roberto Benigni,3,who starred movies for the writer of [],"MATCH (m:movie {name: ""Snow White and the Seven Dwarfs""})-[:written_by]->(w:writer), (m)-[:starred_actors]->(a:actor)
RETURN a.name",[],unmatched,
who acted in the films directed by the director of [The Love Parade],Kay Francis|Carole Lombard|Felix Bressart|Genevieve Tobin|Frank Morgan|Charles Ruggles|Charles Boyer|Julie Christie|Leighton Meester|Maurice Chevalier|Ruggero Raimondi|Pola Negri|Claudette Colbert|Burgess Meredith|Marlene Dietrich|Gene Tierney|Jennifer Jones|Herbert Marshall|Ronny Graham|Lana Turner|Miriam Hopkins|Merle Oberon|Don Ameche|Romola Garai|Stephen Rea|Charles Laughton|Warren Beatty|Emil Jannings|Margaret Sullavan|Sam Neill|Marjorie Main|Greta Garbo|Gary Cooper|George Raft|Katie Cassidy|Leopold von Ledebur|Jack Benny|Robert Stack|Joseph Schildkraut|Fredric March|Plácido Domingo|Charles Coburn|Harry Liedtke|Faith Esham|Jeanette MacDonald|Selena Gomez|James Stewart|Julia Migenes|Fernando Lamas|Melvyn Douglas|Edward Everett Horton,3,who acted in the films directed by the director of [],"MATCH (m:movie {name: ""The Love Parade""})-[:directed_by]->(d:director)<-[:directed_by]-(other_movie:movie)-[:starred_actors]->(a:actor)
RETURN a.name AS Actor","[{'Actor': 'Jeanette MacDonald'}, {'Actor': 'Maurice Chevalier'}, {'Actor': 'Fernando Lamas'}, {'Actor': 'Lana Turner'}, {'Actor': 'Emil Jannings'}, {'Actor': 'Warren Beatty'}, {'Actor': 'Julie Christie'}, {'Actor': 'Marjorie Main'}, {'Actor': 'Charles Coburn'}, {'Actor': 'Gene Tierney'}, {'Actor': 'Don Ameche'}, {'Actor': 'Genevieve Tobin'}, {'Actor': 'Jeanette MacDonald'}, {'Actor': 'Maurice Chevalier'}, {'Actor': 'Charles Ruggles'}, {'Actor': 'Stephen Rea'}, {'Actor': 'Romola Garai'}, {'Actor': 'Sam Neill'}, {'Actor': 'Edward Everett Horton'}, {'Actor': 'Herbert Marshall'}, {'Actor': 'Marlene Dietrich'}, {'Actor': 'Melvyn Douglas'}, {'Actor': 'Margaret Sullavan'}, {'Actor': 'Joseph Schildkraut'}, {'Actor': 'Frank Morgan'}, {'Actor': 'James Stewart'}, {'Actor': 'Miriam Hopkins'}, {'Actor': 'Fredric March'}, {'Actor': 'Gary Cooper'}, {'Actor': 'Felix Bressart'}, {'Actor': 'Jack Benny'}, {'Actor': 'Carole Lombard'}, {'Actor': 'Robert Stack'}, {'Actor': 'Ronny Graham'}, {'Actor': 'Leopold von Ledebur'}, {'Actor': 'Pola Negri'}, {'Actor': 'Harry Liedtke'}, {'Actor': 'Faith Esham'}, {'Actor': 'Julia Migenes'}, {'Actor': 'Ruggero Raimondi'}, {'Actor': 'Plácido Domingo'}, {'Actor': 'Leighton Meester'}, {'Actor': 'Katie Cassidy'}, {'Actor': 'Selena Gomez'}, {'Actor': 'Jeanette MacDonald'}, {'Actor': 'Jennifer Jones'}, {'Actor': 'Charles Boyer'}, {'Actor': 'Maurice Chevalier'}, {'Actor': 'Miriam Hopkins'}, {'Actor': 'Claudette Colbert'}, {'Actor': 'Merle Oberon'}, {'Actor': 'Burgess Meredith'}, {'Actor': 'Melvyn Douglas'}, {'Actor': 'Kay Francis'}, {'Actor': 'Miriam Hopkins'}, {'Actor': 'Herbert Marshall'}, {'Actor': 'Charles Ruggles'}, {'Actor': 'Greta Garbo'}, {'Actor': 'Melvyn Douglas'}, {'Actor': 'George Raft'}, {'Actor': 'Gary Cooper'}, {'Actor': 'Charles Laughton'}]",matched,
who starred in the movies whose writers also wrote [The Barretts of Wimpole Street],Ruth Hussey|Irene Dunne|Marion Davies|Burgess Meredith|Charles Boyer|Elke Sommer|Spencer Tracy|Merle Oberon|Maurice Chevalier|Cary Grant|Claudette Colbert|Doris Nolan|John Barrymore|Marie Dressler|Katharine Hepburn|Greer Garson|Miriam Hopkins|C. Aubrey Smith|Paul Muni|Jeanette MacDonald|Garry Shandling|Warren Beatty|Joan Crawford|Bing Crosby|Lynne Frederick|Madeleine Carroll|Lionel Jeffries|Ronald Colman|Maria Ouspenskaya|Wallace Beery|Lew Ayres|Annette Bening|Stewart Granger|Jean Harlow|Ingrid Bergman|Conrad Veidt|Fredric March|Louis Calhern|Peter Sellers|Luise Rainer|Raymond Massey|Susan Peters|Leslie Howard|Deborah Kerr|James Stewart|Jane Greer|Norma Shearer|Melvyn Douglas,3,who starred in the movies whose writers also wrote [],"MATCH (m:movie)-[:written_by]->(w:writer {name: ""The Barretts of Wimpole Street""})<-[:written_by]-(m2:movie)-[:starred_actors]->(a:actor)
RETURN a.name",[],unmatched,
what are the languages spoken in the movies whose directors also directed [As It Is in Heaven],Swedish,3,what are the languages spoken in the movies whose directors also directed [],"MATCH (m:movie)-[:directed_by]->(d:director)<-[:directed_by]-(aiih:movie {name: ""As It Is in Heaven""}), (m)-[:in_language]->(l:language)
RETURN l.name",[{'l.name': 'Swedish'}],matched,
what are the genres of the films whose actors also appear in [Ryan's Daughter],Mystery|Romance|Family|Crime|Drama|Fantasy|Animation|Western|Action|Comedy|War|Thriller|Adventure,3,what are the genres of the films whose actors also appear in [],"MATCH (m:movie)-[:starred_actors]->(a:actor)<-[:starred_actors]-(rd:movie {name: ""Ryan's Daughter""}), (m)-[:has_genre]->(g:genre)
RETURN DISTINCT g.name","[{'g.name': 'Comedy'}, {'g.name': 'Fantasy'}, {'g.name': 'Mystery'}, {'g.name': 'Family'}, {'g.name': 'Drama'}, {'g.name': 'Animation'}, {'g.name': 'Thriller'}, {'g.name': 'War'}, {'g.name': 'Adventure'}, {'g.name': 'Western'}, {'g.name': 'Crime'}, {'g.name': 'Romance'}, {'g.name': 'Action'}]",matched,
the movies that share directors with the movie [Agata and the Storm] were in which languages,Italian,3,the movies that share directors with the movie [] were in which languages,"MATCH (m:movie {name: ""Agata and the Storm""})-[:directed_by]->(d:director)<-[:directed_by]-(shared_movies:movie)-[:in_language]->(l:language)
RETURN shared_movies.name, l.name","[{'shared_movies.name': 'Come Undone', 'l.name': 'Italian'}, {'shared_movies.name': 'Days and Clouds', 'l.name': 'Italian'}, {'shared_movies.name': 'Bread and Tulips', 'l.name': 'Italian'}]",matched,
the movies that share actors with the movie [Last Ride] are directed by who,Evan Goldberg|Jocelyn Moorhouse|James McTeigue|John Madden|Stephan Elliott|Craig Monahan|Stavros Kazantzidis|Seth Rogen,3,the movies that share actors with the movie [] are directed by who,"MATCH (m:movie {name: ""Last Ride""})-[:starred_actors]->(a:actor)<-[:starred_actors]-(sharedMovies:movie)-[:directed_by]->(d:director)
RETURN sharedMovies.name AS Movie, d.name AS Director","[{'Movie': 'The Interview', 'Director': 'Craig Monahan'}, {'Movie': 'The Interview', 'Director': 'Evan Goldberg'}, {'Movie': 'The Interview', 'Director': 'Seth Rogen'}, {'Movie': 'Russian Doll', 'Director': 'Stavros Kazantzidis'}, {'Movie': 'Healing', 'Director': 'Craig Monahan'}, {'Movie': 'Proof', 'Director': 'John Madden'}, {'Movie': 'Proof', 'Director': 'Jocelyn Moorhouse'}, {'Movie': 'V for Vendetta', 'Director': 'James McTeigue'}, {'Movie': 'The Adventures of Priscilla, Queen of the Desert', 'Director': 'Stephan Elliott'}]",matched,
what genres do the movies that share screenwriters with [Rosenstrasse] fall under,Drama,3,what genres do the movies that share screenwriters with [] fall under,"MATCH (m:movie {name: ""Rosenstrasse""})-[:written_by]->(w:writer)<-[:written_by]-(m2:movie)-[:has_genre]->(g:genre)
RETURN DISTINCT g.name",[{'g.name': 'Drama'}],matched,
the films that share writers with the film [Wag the Dog] were in which genres,Mystery|Crime|Drama|Action|Comedy|Thriller,3,the films that share writers with the film [] were in which genres,"MATCH (m:movie {name: 'Wag the Dog'})-[:written_by]->(w:writer)<-[:written_by]-(shared_movies:movie)-[:has_genre]->(g:genre)
RETURN DISTINCT g.name","[{'g.name': 'Action'}, {'g.name': 'Mystery'}, {'g.name': 'Drama'}, {'g.name': 'Thriller'}, {'g.name': 'Crime'}, {'g.name': 'Comedy'}]",matched,
what are the languages spoken in the movies directed by the [Ministry of Fear] director,German|French,3,what are the languages spoken in the movies directed by the [] director,"MATCH (m:movie {name: ""Ministry of Fear""})-[:directed_by]->(d:director)<-[:directed_by]-(other_movie:movie)-[:in_language]->(l:language)
RETURN l.name","[{'l.name': 'French'}, {'l.name': 'French'}, {'l.name': 'German'}, {'l.name': 'German'}, {'l.name': 'German'}, {'l.name': 'German'}, {'l.name': 'German'}, {'l.name': 'German'}, {'l.name': 'German'}]",matched,
